dicho,3,18,10
diera,1,4,4
diese,1,0,1
digna,0,7,4
digno,1,10,0
dijes,1,0,0
dimos,0,0,1
dinar,0,0,3
dinos,0,0,1
diste,0,0,1
doble,1,0,2
docta,0,0,1
dolor,6,4,9
domar,1,0,0
donde,18,28,47
dones,0,0,1
dosel,0,0,1
dosis,0,1,0
drama,1,1,0
ducha,1,0,0
dudan,0,1,0
dudar,0,8,1
dudas,1,2,0
duelo,0,0,1
dulce,5,15,5
duque,0,11,0
durar,0,1,1
duras,0,1,1
duros,5,3,0
eblis,0,0,2
ebrio,0,2,0
echar,3,4,4
echen,0,1,1
eches,0,0,1
educa,0,1,0
efrit,0,0,63
elige,0,0,1
ellas,2,4,16
ellos,14,13,23
enero,0,0,1
entra,1,2,2
entre,43,62,102
entro,1,0,0
erizo,1,0,0
error,0,0,2
estar,4,16,16
estas,7,36,69
estos,8,6,42
estoy,4,16,15
evita,0,0,1
exige,1,1,0
facha,1,0,0
faena,1,0,0
fajas,0,1,0
falda,1,4,0
fallo,0,0,1
falsa,0,1,0
falso,0,0,2
falta,3,15,7
falto,1,1,0
fanal,0,1,0
fardo,1,0,0
farol,0,1,1
farsa,0,1,0
fatal,0,0,1
fatuo,0,2,0
favor,1,6,6
fecha,0,1,1
felah,0,0,1
feliz,1,5,1
feroz,4,0,0
feudo,0,1,0
fiera,4,4,2
fijar,1,1,1
fijos,1,1,0
filas,1,3,0
filla,1,0,0
final,1,3,1
finas,0,0,1
fines,0,4,1
finja,0,1,0
finos,0,0,2
firma,1,1,0
firme,2,4,4
flaco,0,1,1
flojo,1,0,0
flota,1,0,0
focos,0,1,0
fonda,1,1,0
fondo,13,10,9
foque,1,0,0
forma,1,5,17
forro,0,0,1
fosca,1,0,0
fosco,0,1,0
frase,1,0,0
freir,0,0,1
fruto,1,2,1
fuego,4,8,13
fuera,17,22,12
fuese,17,7,7
fugas,0,1,0
fugaz,0,4,0
fumar,2,0,0
funda,1,0,0
furia,4,3,1
furor,2,7,2
fusil,1,7,0
futro,1,0,0
gafas,0,4,0
gallo,0,0,6
ganar,4,3,0
ganas,1,1,2
ganso,1,0,0
garbo,0,1,0
garra,1,0,0
gasta,1,0,0
gaste,1,0,0
gatos,1,0,0
gemir,2,0,1
genio,0,5,1
gente,25,9,5
gesto,5,5,1
giras,0,0,1
godoy,0,1,0
golpe,6,10,3
gorda,0,0,2
gordo,0,2,0
gorra,4,0,0
gorro,0,1,0
gotas,4,0,1
gozar,0,1,2
grado,0,3,2
grana,1,0,0
grano,0,0,4
grasa,1,1,0
grata,0,3,0
grato,1,1,0
grave,0,7,0
grita,1,0,0
grito,4,7,3
grupa,0,1,1
grupo,0,2,1
guapo,1,2,1
guisa,0,1,0
gusta,1,0,2
guste,1,0,0
gusto,1,5,6
haber,7,14,22
habla,0,5,3
hable,0,2,1
hablo,0,1,0
haced,1,0,0
hacen,2,4,4
hacer,17,44,25
haces,1,1,3
hacha,1,0,8
hacia,15,8,76
hagan,1,0,1
hagas,0,1,6
halda,0,0,1
halla,0,1,1
harta,0,0,1
harto,0,2,0
hasta,72,80,206
hayan,0,2,0
hayas,0,0,4
hazar,0,0,1
hazle,0,0,1
hazme,0,0,2
hecha,3,0,2
hecho,11,27,24
hedor,1,0,0
hemos,2,9,17
herir,0,0,2
higos,1,0,0
hijas,1,0,7
hijos,8,7,13
hilos,3,1,0
himno,1,3,0
hogar,2,0,0
hojas,4,0,13
honda,0,1,1
hondo,1,2,0
honor,4,10,14
honra,0,2,0
hopas,1,0,0
horas,16,18,2
horca,0,2,0
horno,8,0,0
hotel,5,1,0
hueca,1,0,0
hueco,1,2,0
huero,0,0,1
hueso,1,0,0
huevo,1,0,2
huida,1,0,0
huido,1,0,1
humor,2,5,1
huyen,0,1,0
ideal,0,1,0
ideas,3,5,1
igual,3,5,4
india,0,0,3
indio,0,1,0
irlos,0,1,0
islas,0,0,9
james,0,1,0
jarro,0,0,2
jaspe,0,0,1
jefes,0,0,5
jeque,0,0,20
joven,7,44,131
joyas,1,0,3
juder,0,0,1
juego,2,2,2
jugar,1,2,6
julio,0,6,0
junta,0,2,0
junto,17,14,21
jurar,1,1,2
justa,0,0,1
justo,0,2,2
juzga,0,1,1
kamar,0,0,3
kitab,0,0,1
labio,0,0,1
labor,0,0,2
lados,1,1,1
lance,0,1,1
lanza,0,0,3
larga,5,3,4
largo,5,15,5
lazos,0,2,1
lecho,2,2,11
legal,0,0,1
lejos,11,6,8
lenta,2,5,1
lento,2,0,0
lepra,0,0,2
letra,1,0,7
levar,0,1,0
leves,0,0,1
leyes,0,3,2
libra,2,0,1
libre,2,8,5
libro,0,1,30
licor,0,0,3
ligan,1,1,0
linda,0,4,1
lindo,0,4,0
lista,1,3,0
listo,1,0,0
llaga,0,0,1
llama,1,5,12
llame,0,2,0
llamo,0,0,2
llano,2,0,0
llave,2,0,4
llega,2,3,3
llego,1,0,0
llena,1,3,25
lleno,1,4,14
lleva,4,6,3
lleve,0,2,2
llevo,1,0,1
lloro,1,0,1
lobas,1,0,0
lobos,2,0,0
locas,2,2,0
locos,0,2,0
logra,0,2,0
logre,0,2,1
logro,0,0,1
loros,0,2,0
losas,1,0,0
luces,1,0,0
lucha,3,3,0
lucho,0,1,0
lucir,1,2,0
luego,2,2,67
lugar,5,7,15
